,"Table 3.2",,,"Gross disposable household income1 (GDHI) per head at current basic prices",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"£ per head"
,,,,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,"20132"
,"NUTS Level 1",,,,,,,,,,,,,,,,,,,
,,"NUTS Level 2",,,,,,,,,,,,,,,,,,
,,,"NUTS Level 3",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"UKI74",,,"Harrow and Hillingdon","11,782","12,673","13,220","14,289","15,019","15,456","15,992","16,232","16,726","17,283","18,081","18,688","18,869","19,811","19,983","20,524","20,835"
"UKI75",,,"Hounslow and Richmond upon Thames","12,336","13,314","13,887","15,055","15,765","16,158","16,619","16,748","17,220","17,775","18,547","19,313","20,031","21,140","21,036","21,667","21,953"
,,,,,,,,,,,,,,,,,,,,
"UKJ","South East",,,"11,670","12,332","12,748","13,679","14,399","14,853","15,141","15,427","15,997","16,709","17,608","17,714","18,319","19,192","19,288","19,786","19,898"
,,,,,,,,,,,,,,,,,,,,
"UKJ1",,"Berkshire, Buckinghamshire and Oxfordshire",,"12,385","13,074","13,424","14,609","15,127","15,602","15,966","16,249","16,787","17,719","18,601","18,738","19,210","20,122","20,136","20,703","20,660"
"UKJ11",,,"Berkshire","12,315","13,064","13,400","14,674","14,937","15,418","15,889","16,015","16,619","17,262","18,505","18,628","18,934","19,604","19,875","20,407","20,373"
"UKJ12",,,"Milton Keynes","10,268","10,855","11,452","12,264","12,548","13,201","13,602","14,157","14,595","15,016","15,842","16,104","16,333","17,131","17,077","17,623","17,709"
"UKJ13",,,"Buckinghamshire CC","13,657","14,371","14,836","16,078","17,083","17,403","17,821","18,215","18,779","20,061","20,957","21,079","21,846","22,875","22,839","23,435","23,341"
"UKJ14",,,"Oxfordshire","12,180","12,815","13,018","14,178","14,736","15,277","15,454","15,766","16,243","17,470","17,900","18,034","18,604","19,806","19,558","20,155","20,095"
,,,,,,,,,,,,,,,,,,,,
"UKJ2",,"Surrey, East and West Sussex",,"12,530","13,352","13,859","14,677","15,531","15,974","16,250","16,506","17,311","18,119","19,058","19,016","19,593","20,648","20,792","21,281","21,437"
"UKJ21",,,"Brighton and Hove","10,834","11,476","11,693","12,446","13,316","13,848","14,158","14,581","15,246","15,429","16,044","16,333","17,013","17,647","17,747","18,220","18,128"
"UKJ22",,,"East Sussex CC","10,591","11,158","11,699","12,547","13,289","13,525","13,859","13,828","14,556","15,135","16,443","16,500","17,113","18,331","18,377","18,362","18,499"
"UKJ25",,,"West Surrey","14,225","15,286","16,088","16,801","17,645","18,256","18,472","18,806","19,805","21,005","22,029","21,893","22,572","23,660","23,902","24,622","24,706"
