DATASET_TITLE	Dwelling Stock by Council Tax Band, 2001										FROM	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001
AREA_TYPE	Super Output Area Lower Layer										TO	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001	Mar-2001
GEO_HIERARCHY	NeSS Geography Hierarchy										HEADING	Dwelling Stock by Council Tax Band; Total	Dwelling Stock by Council Tax Band; Band A	Dwelling Stock by Council Tax Band; Band A	Dwelling Stock by Council Tax Band; Band B	Dwelling Stock by Council Tax Band; Band B	Dwelling Stock by Council Tax Band; Band C	Dwelling Stock by Council Tax Band; Band C	Dwelling Stock by Council Tax Band; Band D	Dwelling Stock by Council Tax Band; Band D	Dwelling Stock by Council Tax Band; Band E	Dwelling Stock by Council Tax Band; Band E	Dwelling Stock by Council Tax Band; Band F	Dwelling Stock by Council Tax Band; Band F	Dwelling Stock by Council Tax Band; Band G	Dwelling Stock by Council Tax Band; Band G	Dwelling Stock by Council Tax Band; Band H	Dwelling Stock by Council Tax Band; Band H	Dwelling Stock by Council Tax Band; Band X; Unallocated	Dwelling Stock by Council Tax Band; Band X; Unallocated
											MEASUREMENT_UNIT	Count	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage
											STATISTICAL_UNIT	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings
GOR_CODE	GOR_NAME	CTY_CODE	CTY_NAME	LA_CODE	LA_NAME	MSOA_CODE	MSOA_NAME	LSOA_CODE	LSOA_NAME	AREA_METADATA		DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE
H	London			00AC	Barnet	E02000032	Barnet 009	E01000115	Barnet 009A			512	1	0.2	19	3.71	6	1.17	5	0.98	46	8.98	277	54.1	157	30.66	1	0.2	0	0
H	London			00AC	Barnet	E02000032	Barnet 009	E01000116	Barnet 009B			617	1	0.16	3	0.49	88	14.26	7	1.13	470	76.18	47	7.62	0	0	1	0.16	0	0
H	London			00AC	Barnet	E02000033	Barnet 010	E01000117	Barnet 010A			654	0	0	2	0.31	97	14.83	97	14.83	369	56.42	88	13.46	1	0.15	0	0	0	0
H	London			00AC	Barnet	E02000033	Barnet 010	E01000118	Barnet 010B			618	0	0	1	0.16	29	4.69	89	14.4	466	75.4	33	5.34	0	0	0	0	0	0
H	London			00AC	Barnet	E02000032	Barnet 009	E01000119	Barnet 009C			533	0	0	1	0.19	3	0.56	3	0.56	320	60.04	191	35.83	15	2.81	0	0	0	0
H	London			00AC	Barnet	E02000032	Barnet 009	E01000120	Barnet 009D			501	0	0	0	0	7	1.4	1	0.2	190	37.92	295	58.88	8	1.6	0	0	0	0
H	London			00AC	Barnet	E02000033	Barnet 010	E01000121	Barnet 010C			467	0	0	6	1.28	120	25.7	131	28.05	187	40.04	16	3.43	4	0.86	2	0.43	1	0.21
H	London			00AC	Barnet	E02000032	Barnet 009	E01000122	Barnet 009E			530	0	0	12	2.26	18	3.4	21	3.96	377	71.13	88	16.6	14	2.64	0	0	0	0
H	London			00AC	Barnet	E02000033	Barnet 010	E01000123	Barnet 010D			686	1	0.15	8	1.17	110	16.03	298	43.44	238	34.69	20	2.92	11	1.6	0	0	0	0
H	London			00AC	Barnet	E02000033	Barnet 010	E01000124	Barnet 010E			610	22	3.61	96	15.74	191	31.31	198	32.46	94	15.41	1	0.16	7	1.15	1	0.16	0	0
H	London			00AC	Barnet	E02000047	Barnet 024	E01000125	Barnet 024A			648	1	0.15	99	15.28	285	43.98	258	39.81	4	0.62	0	0	0	0	1	0.15	0	0
H	London			00AC	Barnet	E02000049	Barnet 026	E01000126	Barnet 026A			497	24	4.83	37	7.44	171	34.41	218	43.86	46	9.26	1	0.2	0	0	0	0	0	0
H	London			00AC	Barnet	E02000047	Barnet 024	E01000127	Barnet 024B			528	0	0	40	7.58	237	44.89	250	47.35	1	0.19	0	0	0	0	0	0	0	0
H	London			00AC	Barnet	E02000047	Barnet 024	E01000128	Barnet 024C			633	0	0	11	1.74	217	34.28	330	52.13	75	11.85	0	0	0	0	0	0	0	0
H	London			00AC	Barnet	E02000047	Barnet 024	E01000129	Barnet 024D			609	1	0.16	99	16.26	340	55.83	167	27.42	2	0.33	0	0	0	0	0	0	0	0
H	London			00AC	Barnet	E02000044	Barnet 021	E01000130	Barnet 021A			555	0	0	22	3.96	245	44.14	276	49.73	12	2.16	0	0	0	0	0	0	0	0
H	London			00AC	Barnet	E02000047	Barnet 024	E01000131	Barnet 024E			662	4	0.6	95	14.35	64	9.67	301	45.47	194	29.31	3	0.45	1	0.15	0	0	0	0
