DATASET_TITLE	Dwelling Stock by Council Tax Band, 2011												FROM	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011
AREA_TYPE	Super Output Area Lower Layer												TO	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011	Mar-2011
GEO_HIERARCHY	NeSS Geography Hierarchy												HEADING	Dwelling Stock by Council Tax Band; Total	Dwelling Stock by Council Tax Band; Band A	Dwelling Stock by Council Tax Band; Band A	Dwelling Stock by Council Tax Band; Band B	Dwelling Stock by Council Tax Band; Band B	Dwelling Stock by Council Tax Band; Band C	Dwelling Stock by Council Tax Band; Band C	Dwelling Stock by Council Tax Band; Band D	Dwelling Stock by Council Tax Band; Band D	Dwelling Stock by Council Tax Band; Band E	Dwelling Stock by Council Tax Band; Band E	Dwelling Stock by Council Tax Band; Band F	Dwelling Stock by Council Tax Band; Band F	Dwelling Stock by Council Tax Band; Band G	Dwelling Stock by Council Tax Band; Band G	Dwelling Stock by Council Tax Band; Band H	Dwelling Stock by Council Tax Band; Band H	Dwelling Stock by Council Tax Band; Band I	Dwelling Stock by Council Tax Band; Band I	Dwelling Stock by Council Tax Band; Band X; Unallocated	Dwelling Stock by Council Tax Band; Band X; Unallocated
													MEASUREMENT_UNIT	Count	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage	Count	Percentage
													STATISTICAL_UNIT	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings	Dwellings
GOR_CODE	GOR_NAME	CTY_CODE	CTY_NAME	LA_CODE	LA_NAME	FLA_CODE	FLA_NAME	MSOA_CODE	MSOA_NAME	LSOA_CODE	LSOA_NAME	AREA_METADATA		DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE	DATA_VALUE
E12000007	London			E09000002	Barking and Dagenham			E02000006	Barking and Dagenham 005	E01000026	Barking and Dagenham 005C			480	16	3.33	28	5.83	322	67.08	57	11.88	57	11.88	0	0	0	0	0	0	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000002	Barking and Dagenham 001	E01000027	Barking and Dagenham 001A			654	11	1.68	149	22.78	385	58.87	91	13.91	8	1.22	6	0.92	3	0.46	1	0.15	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000002	Barking and Dagenham 001	E01000028	Barking and Dagenham 001B			664	0	0	324	48.8	289	43.52	47	7.08	3	0.45	0	0	0	0	1	0.15	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000002	Barking and Dagenham 001	E01000029	Barking and Dagenham 001C			675	1	0.15	99	14.67	139	20.59	253	37.48	182	26.96	0	0	0	0	1	0.15	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000002	Barking and Dagenham 001	E01000030	Barking and Dagenham 001D			777	136	17.5	360	46.33	257	33.08	23	2.96	1	0.13	0	0	0	0	0	0	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000003	Barking and Dagenham 002	E01000031	Barking and Dagenham 002A			623	38	6.1	69	11.08	56	8.99	415	66.61	39	6.26	5	0.8	1	0.16	0	0	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000003	Barking and Dagenham 002	E01000032	Barking and Dagenham 002B			649	16	2.47	141	21.73	232	35.75	239	36.83	21	3.24	0	0	0	0	0	0	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000007	Barking and Dagenham 006	E01000033	Barking and Dagenham 006A			556	124	22.3	63	11.33	356	64.03	12	2.16	1	0.18	0	0	0	0	0	0	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000004	Barking and Dagenham 003	E01000034	Barking and Dagenham 003A			536	46	8.58	26	4.85	335	62.5	76	14.18	45	8.4	6	1.12	1	0.19	1	0.19	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000011	Barking and Dagenham 010	E01000035	Barking and Dagenham 010A			604	58	9.6	136	22.52	376	62.25	32	5.3	1	0.17	0	0	0	0	1	0.17	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000011	Barking and Dagenham 010	E01000036	Barking and Dagenham 010B			487	26	5.34	26	5.34	401	82.34	33	6.78	0	0	1	0.21	0	0	0	0	0	0	0	0
E12000007	London			E09000002	Barking and Dagenham			E02000004	Barking and Dagenham 003	E01000037	Barking and Dagenham 003B			565	2	0.35	3	0.53	74	13.1	448	79.29	30	5.31	7	1.24	0	0	1	0.18	0	0	0	0
