"","long","lat","order","hole","piece","group","id"
"124",544441.428638333,160424.063766075,5,FALSE,"1","ID18.1","ID18"
"125",542872.527153753,161329.86946053,6,FALSE,"1","ID18.1","ID18"
"126",542872.527153753,163141.480849438,7,FALSE,"1","ID18.1","ID18"
"127",546010.330122914,163141.480849438,1,FALSE,"1","ID19.1","ID19"
"128",547579.231607494,164047.286543893,2,FALSE,"1","ID19.1","ID19"
"129",549148.133092074,163141.480849438,3,FALSE,"1","ID19.1","ID19"
"130",549148.133092074,161329.86946053,4,FALSE,"1","ID19.1","ID19"
"131",547579.231607494,160424.063766075,5,FALSE,"1","ID19.1","ID19"
"132",546010.330122914,161329.86946053,6,FALSE,"1","ID19.1","ID19"
"133",546010.330122914,163141.480849438,7,FALSE,"1","ID19.1","ID19"
"134",516201.201915886,165858.897932802,1,FALSE,"1","ID20.1","ID20"
"135",517770.103400467,166764.703627256,2,FALSE,"1","ID20.1","ID20"
"136",519339.004885047,165858.897932802,3,FALSE,"1","ID20.1","ID20"
"137",519339.004885047,164047.286543893,4,FALSE,"1","ID20.1","ID20"
"138",517770.103400467,163141.480849439,5,FALSE,"1","ID20.1","ID20"
"139",516201.201915886,164047.286543893,6,FALSE,"1","ID20.1","ID20"
"140",516201.201915886,165858.897932802,7,FALSE,"1","ID20.1","ID20"
"141",519339.004885047,165858.897932802,1,FALSE,"1","ID21.1","ID21"
"142",520907.906369627,166764.703627256,2,FALSE,"1","ID21.1","ID21"
"143",522476.807854208,165858.897932802,3,FALSE,"1","ID21.1","ID21"
"144",522476.807854208,164047.286543893,4,FALSE,"1","ID21.1","ID21"
"145",520907.906369627,163141.480849439,5,FALSE,"1","ID21.1","ID21"
"146",519339.004885047,164047.286543893,6,FALSE,"1","ID21.1","ID21"
"147",519339.004885047,165858.897932802,7,FALSE,"1","ID21.1","ID21"
"148",522476.807854208,165858.897932802,1,FALSE,"1","ID22.1","ID22"
"149",524045.709338788,166764.703627256,2,FALSE,"1","ID22.1","ID22"
"150",525614.610823368,165858.897932802,3,FALSE,"1","ID22.1","ID22"
"151",525614.610823368,164047.286543893,4,FALSE,"1","ID22.1","ID22"
"152",524045.709338788,163141.480849439,5,FALSE,"1","ID22.1","ID22"
"153",522476.807854208,164047.286543893,6,FALSE,"1","ID22.1","ID22"
"154",522476.807854208,165858.897932802,7,FALSE,"1","ID22.1","ID22"
"155",525614.610823369,165858.897932802,1,FALSE,"1","ID23.1","ID23"
"156",527183.512307949,166764.703627256,2,FALSE,"1","ID23.1","ID23"
"157",528752.413792529,165858.897932802,3,FALSE,"1","ID23.1","ID23"
"158",528752.413792529,164047.286543893,4,FALSE,"1","ID23.1","ID23"
"159",527183.512307949,163141.480849439,5,FALSE,"1","ID23.1","ID23"
"160",525614.610823369,164047.286543893,6,FALSE,"1","ID23.1","ID23"
"161",525614.610823369,165858.897932802,7,FALSE,"1","ID23.1","ID23"
"162",528752.413792529,165858.897932802,1,FALSE,"1","ID24.1","ID24"
"163",530321.31527711,166764.703627256,2,FALSE,"1","ID24.1","ID24"
"164",531890.21676169,165858.897932802,3,FALSE,"1","ID24.1","ID24"
"165",531890.21676169,164047.286543893,4,FALSE,"1","ID24.1","ID24"
"166",530321.31527711,163141.480849439,5,FALSE,"1","ID24.1","ID24"
"167",528752.413792529,164047.286543893,6,FALSE,"1","ID24.1","ID24"
"168",528752.413792529,165858.897932802,7,FALSE,"1","ID24.1","ID24"
"169",531890.21676169,165858.897932802,1,FALSE,"1","ID25.1","ID25"
"170",533459.118246271,166764.703627256,2,FALSE,"1","ID25.1","ID25"
"171",535028.019730851,165858.897932802,3,FALSE,"1","ID25.1","ID25"
"172",535028.019730851,164047.286543893,4,FALSE,"1","ID25.1","ID25"
"173",533459.118246271,163141.480849439,5,FALSE,"1","ID25.1","ID25"
"174",531890.21676169,164047.286543893,6,FALSE,"1","ID25.1","ID25"
"175",531890.21676169,165858.897932802,7,FALSE,"1","ID25.1","ID25"
"176",535028.019730851,165858.897932802,1,FALSE,"1","ID26.1","ID26"
"177",536596.921215431,166764.703627256,2,FALSE,"1","ID26.1","ID26"
"178",538165.822700012,165858.897932802,3,FALSE,"1","ID26.1","ID26"
"179",538165.822700012,164047.286543893,4,FALSE,"1","ID26.1","ID26"
"180",536596.921215431,163141.480849439,5,FALSE,"1","ID26.1","ID26"
"181",535028.019730851,164047.286543893,6,FALSE,"1","ID26.1","ID26"
"182",535028.019730851,165858.897932802,7,FALSE,"1","ID26.1","ID26"
"183",538165.822700012,165858.897932802,1,FALSE,"1","ID27.1","ID27"
"184",539734.724184592,166764.703627256,2,FALSE,"1","ID27.1","ID27"
"185",541303.625669172,165858.897932802,3,FALSE,"1","ID27.1","ID27"
"186",541303.625669172,164047.286543893,4,FALSE,"1","ID27.1","ID27"
"187",539734.724184592,163141.480849439,5,FALSE,"1","ID27.1","ID27"
"188",538165.822700012,164047.286543893,6,FALSE,"1","ID27.1","ID27"
"189",538165.822700012,165858.897932802,7,FALSE,"1","ID27.1","ID27"
"190",541303.625669173,165858.897932802,1,FALSE,"1","ID28.1","ID28"
"191",542872.527153753,166764.703627256,2,FALSE,"1","ID28.1","ID28"
"192",544441.428638333,165858.897932802,3,FALSE,"1","ID28.1","ID28"
"193",544441.428638333,164047.286543893,4,FALSE,"1","ID28.1","ID28"
"194",542872.527153753,163141.480849439,5,FALSE,"1","ID28.1","ID28"
"195",541303.625669173,164047.286543893,6,FALSE,"1","ID28.1","ID28"
"196",541303.625669173,165858.897932802,7,FALSE,"1","ID28.1","ID28"
"197",544441.428638333,165858.897932802,1,FALSE,"1","ID29.1","ID29"
"198",546010.330122914,166764.703627256,2,FALSE,"1","ID29.1","ID29"
"199",547579.231607494,165858.897932802,3,FALSE,"1","ID29.1","ID29"
"200",547579.231607494,164047.286543893,4,FALSE,"1","ID29.1","ID29"
"201",546010.330122914,163141.480849439,5,FALSE,"1","ID29.1","ID29"
"202",544441.428638333,164047.286543893,6,FALSE,"1","ID29.1","ID29"
"203",544441.428638333,165858.897932802,7,FALSE,"1","ID29.1","ID29"
"204",547579.231607494,165858.897932802,1,FALSE,"1","ID30.1","ID30"
"205",549148.133092075,166764.703627256,2,FALSE,"1","ID30.1","ID30"
"206",550717.034576655,165858.897932802,3,FALSE,"1","ID30.1","ID30"
"207",550717.034576655,164047.286543893,4,FALSE,"1","ID30.1","ID30"
"208",549148.133092075,163141.480849439,5,FALSE,"1","ID30.1","ID30"
"209",547579.231607494,164047.286543893,6,FALSE,"1","ID30.1","ID30"
"210",547579.231607494,165858.897932802,7,FALSE,"1","ID30.1","ID30"
"211",511494.497462145,168576.315016165,1,FALSE,"1","ID31.1","ID31"
"212",513063.398946725,169482.12071062,2,FALSE,"1","ID31.1","ID31"
"213",514632.300431306,168576.315016165,3,FALSE,"1","ID31.1","ID31"
"214",514632.300431306,166764.703627257,4,FALSE,"1","ID31.1","ID31"
"215",513063.398946725,165858.897932802,5,FALSE,"1","ID31.1","ID31"
"216",511494.497462145,166764.703627257,6,FALSE,"1","ID31.1","ID31"
"217",511494.497462145,168576.315016165,7,FALSE,"1","ID31.1","ID31"
"218",514632.300431306,168576.315016165,1,FALSE,"1","ID32.1","ID32"
"219",516201.201915886,169482.12071062,2,FALSE,"1","ID32.1","ID32"
"220",517770.103400466,168576.315016165,3,FALSE,"1","ID32.1","ID32"
"221",517770.103400466,166764.703627257,4,FALSE,"1","ID32.1","ID32"
"222",516201.201915886,165858.897932802,5,FALSE,"1","ID32.1","ID32"
"223",514632.300431306,166764.703627257,6,FALSE,"1","ID32.1","ID32"
"224",514632.300431306,168576.315016165,7,FALSE,"1","ID32.1","ID32"
"225",517770.103400467,168576.315016165,1,FALSE,"1","ID33.1","ID33"
"226",519339.004885047,169482.12071062,2,FALSE,"1","ID33.1","ID33"
"227",520907.906369627,168576.315016165,3,FALSE,"1","ID33.1","ID33"
"228",520907.906369627,166764.703627257,4,FALSE,"1","ID33.1","ID33"
"229",519339.004885047,165858.897932802,5,FALSE,"1","ID33.1","ID33"
"230",517770.103400467,166764.703627257,6,FALSE,"1","ID33.1","ID33"
"231",517770.103400467,168576.315016165,7,FALSE,"1","ID33.1","ID33"
"232",520907.906369628,168576.315016165,1,FALSE,"1","ID34.1","ID34"
"233",522476.807854208,169482.12071062,2,FALSE,"1","ID34.1","ID34"
"234",524045.709338788,168576.315016165,3,FALSE,"1","ID34.1","ID34"
"235",524045.709338788,166764.703627257,4,FALSE,"1","ID34.1","ID34"
"236",522476.807854208,165858.897932802,5,FALSE,"1","ID34.1","ID34"
"237",520907.906369628,166764.703627257,6,FALSE,"1","ID34.1","ID34"
"238",520907.906369628,168576.315016165,7,FALSE,"1","ID34.1","ID34"
"239",524045.709338788,168576.315016165,1,FALSE,"1","ID35.1","ID35"
"240",525614.610823369,169482.12071062,2,FALSE,"1","ID35.1","ID35"
"241",527183.512307949,168576.315016165,3,FALSE,"1","ID35.1","ID35"
"242",527183.512307949,166764.703627257,4,FALSE,"1","ID35.1","ID35"
"243",525614.610823369,165858.897932802,5,FALSE,"1","ID35.1","ID35"
"244",524045.709338788,166764.703627257,6,FALSE,"1","ID35.1","ID35"
