"","LSOA01CD","hex","hex.id"
"1534","E01001556",180,"ID180"
"1535","E01001557",181,"ID181"
"1536","E01001558",180,"ID180"
"1537","E01001559",181,"ID181"
"1538","E01001560",194,"ID194"
"1539","E01001562",180,"ID180"
"1540","E01001563",194,"ID194"
"1541","E01001564",194,"ID194"
"1542","E01001565",194,"ID194"
"1543","E01001566",179,"ID179"
"1544","E01001567",194,"ID194"
"1545","E01001568",194,"ID194"
"1546","E01001569",194,"ID194"
"1547","E01001570",194,"ID194"
"1548","E01001571",98,"ID98"
"1549","E01001572",98,"ID98"
"1550","E01001573",98,"ID98"
"1551","E01001574",98,"ID98"
"1552","E01001575",98,"ID98"
"1553","E01001576",114,"ID114"
"1554","E01001577",98,"ID98"
"1555","E01001578",98,"ID98"
"1556","E01001579",98,"ID98"
"1557","E01001580",80,"ID80"
"1558","E01001581",96,"ID96"
"1559","E01001582",81,"ID81"
"1560","E01001583",81,"ID81"
"1561","E01001584",80,"ID80"
"1562","E01001585",96,"ID96"
"1563","E01001586",80,"ID80"
"1564","E01001587",96,"ID96"
"1565","E01001588",96,"ID96"
"1566","E01001589",96,"ID96"
"1567","E01001590",96,"ID96"
"1568","E01001591",96,"ID96"
"1569","E01001592",96,"ID96"
"1570","E01001593",96,"ID96"
"1571","E01001594",96,"ID96"
"1572","E01001595",81,"ID81"
"1573","E01001596",67,"ID67"
"1574","E01001597",66,"ID66"
"1575","E01001598",66,"ID66"
"1576","E01001599",67,"ID67"
"1577","E01001600",67,"ID67"
"1578","E01001601",67,"ID67"
"1579","E01001602",67,"ID67"
"1580","E01001603",53,"ID53"
"1581","E01001604",81,"ID81"
"1582","E01001605",81,"ID81"
"1583","E01001606",81,"ID81"
"1584","E01001607",81,"ID81"
"1585","E01001608",81,"ID81"
"1586","E01001609",81,"ID81"
"1587","E01001610",81,"ID81"
"1588","E01001611",81,"ID81"
"1589","E01001613",67,"ID67"
"1590","E01001614",67,"ID67"
"1591","E01001615",66,"ID66"
"1592","E01001617",67,"ID67"
"1593","E01001618",67,"ID67"
"1594","E01001619",67,"ID67"
"1595","E01001620",66,"ID66"
"1596","E01001621",81,"ID81"
"1597","E01001623",81,"ID81"
"1598","E01001624",81,"ID81"
"1599","E01001625",81,"ID81"
"1600","E01001629",97,"ID97"
"1601","E01001631",97,"ID97"
"1602","E01001632",97,"ID97"
"1603","E01001633",97,"ID97"
"1604","E01001634",97,"ID97"
"1605","E01001635",97,"ID97"
"1606","E01001636",97,"ID97"
"1607","E01001637",97,"ID97"
"1608","E01001638",80,"ID80"
"1609","E01001640",80,"ID80"
"1610","E01001641",80,"ID80"
"1611","E01001642",80,"ID80"
"1612","E01001644",80,"ID80"
"1613","E01001645",81,"ID81"
"1614","E01001646",81,"ID81"
"1615","E01001647",81,"ID81"
"1616","E01001648",81,"ID81"
"1617","E01001649",81,"ID81"
"1618","E01001650",96,"ID96"
"1619","E01001651",81,"ID81"
"1620","E01001652",81,"ID81"
"1621","E01001653",66,"ID66"
"1622","E01001654",66,"ID66"
"1623","E01001655",66,"ID66"
"1624","E01001656",80,"ID80"
"1625","E01001657",80,"ID80"
"1626","E01001658",81,"ID81"
"1627","E01001659",66,"ID66"
"1628","E01001660",66,"ID66"
"1629","E01001661",66,"ID66"
"1630","E01001662",96,"ID96"
"1631","E01001664",96,"ID96"
"1632","E01001665",96,"ID96"
"1633","E01001666",96,"ID96"
"1634","E01001667",96,"ID96"
"1635","E01001668",96,"ID96"
"1636","E01001669",98,"ID98"
"1637","E01001671",82,"ID82"
"1638","E01001672",97,"ID97"
